OCCURRENCE
Evento_lema	Frecuencia
bade	24
stare	24
depend	24
favour	24
detain	24
fear	24
banish	23
alter	23
confide	23
announce	23
scorn	23
fulfill	23
trickle	23
mingle	23
repay	23
decline	23
convict	23
persecute	23
confer	23
station	23
unite	23
blame	22
back	22
object	22
solicit	22
discuss	22
exhaust	22
trouble	22
stick	22
administer	22
weigh	22
resolution	22
wrong	22
check	22
denounce	22
revive	22
glean	22
ensure	22
land	22
hide	21
faint	21
witness	21
anticipate	21
action	21
heap	21
float	21
inhabit	21
declare	21
excuse	21
redeem	21
invent	21
bolt	21
usher	21
curse	21
dismiss	21
grieve	21
dawn	21
reign	21
precipitate	21
suppress	21
borrow	20
journey	20
deposit	20
event	20
summit	20
reply	20
appeal	20
cherish	20
heave	20
sing	20
devise	20
endow	20
have	20
load	20
scream	20
wave	20
greet	20
violate	20
speech	20
institute	20
enhance	20
enjoin	20
combine	20
pretend	20
wound	20
despair	20
dance	20
vow	20
conflict	20
flush	19
insult	19
fling	19
dream	19
stoop	19
spurn	19
condescend	19
sound	19
benefit	19
defeat	19
adorn	19
mount	19
guess	19
sentence	19
level	19
narrate	19
tender	19
detail	19
trip	19
concern	19
elevate	19
enclose	19
renew	19
despise	19
engender	19
march	19
nurse	18
resemble	18
explosion	18
curl	18
replace	18
develop	18
convulse	18
lift	18
shriek	18
realise	18
boast	18
assert	18
fulfil	18
disgrace	18
languish	18
suffice	18
be	18
hint	18
hate	18
proffer	18
shrink	18
pen	18
disappoint	18
warm	18
founder	18
loathe	18
clothe	18
disguise	18
convert	18
clean	18
grind	18
fire	18
plant	17
rattle	17
define	17
match	17
signify	17
stamp	17
augment	17
recline	17
adore	17
refresh	17
content	17
taste	17
clad	17
hange	17
circulate	17
dispense	17
surprise	17
thunder	17
surrender	17
tempt	17
publish	17
invest	17
extort	17
aspire	17
rave	17
 "and	17
progress	17
mitigate	16
grope	16
clear	16
quarrel	16
re-serve	16
correspond	16
vent	16
invite	16
espouse	16
pity	16
boil	16
shiver	16
will	16
defend	16
occupation	16
impress	16
charm	16
afflict	16
colour	16
pierce	16
allot	16
embarrass	16
contribute	16
conclude	16
assent	16
term	15
enrich	15
repose	15
stir	15
adapt	15
embellish	15
soothe	15
prey	15
writhe	15
situate	15
amount	15
double	15
calm	15
imprint	15
muster	15
guide	15
impose	15
