ASPECTUAL
Evento_lema	Frecuencia
continue	120
enter	68
keep	60
begin	53
start	47
remain	41
stop	24
open	23
end	20
follow	18
choose	18
resume	15
finish	10
become	9
stand	9
suspend	8
complete	6
terminate	4
abandon	4
renew	3
close	2
becomes	1
shift	1
completion	1
step	1
succeed	1
