Event(lemma)	weight _TfIdf
lug	0.17368030463661538
camp	0.17368030463661538
realize	0.1679893216499959
organize	0.14352176344936463
slash	0.10284048360816031
lapse	0.09856170990380413
scrutinize	0.09133203128595932
dominate	0.09133203128595932
plumb	0.08761328189856712
whack	0.08761328189856712
bandage	0.08351835064321923
achieve	0.0808056604522313
lit	0.07985534619754094
gnaw	0.07828459824510799
shove	0.0772468239936127
claw	0.07719124650516239
underfeed	0.0766445706351896
irradiate	0.07345748829154308
jolly	0.07345748829154308
loot	0.0709096117699233
replacement	0.0709096117699233
resonate	0.0709096117699233
synthesize	0.0709096117699233
dab	0.06886214614224934
accumulate	0.06752895258295478
generalize	0.06681468051457538
jabber	0.06681468051457538
clamber	0.0662115634230966
survey	0.06581226758026529
get	0.06535589425671588
confute	0.06282562873124364
submerge	0.06282562873124364
hack	0.06282562873124364
extension	0.06256629815399233
stimulate	0.0623255550570491
broach	0.05943969403939071
disconcert	0.05908783351008544
beget	0.05876599063323447
darkle	0.058408854599044754
hump	0.058408854599044754
wilt	0.058408854599044754
yarn	0.058408854599044754
prowl	0.05828698106483004
invasion	0.05828698106483004
mask	0.057893434878871795
overwork	0.05532819431215833
discussion	0.054956060667309195
fluctuate	0.05372332439521583
flop	0.05372332439521583
vitiate	0.05372332439521583
scheme	0.05372332439521583
smash	0.053071689948202216
weaken	0.053071689948202216
equip	0.05226645771602289
economise	0.051096380423459736
twin	0.051096380423459736
elope	0.051096380423459736
grab	0.051096380423459736
pish	0.051096380423459736
telephone	0.051096380423459736
trend	0.051096380423459736
grip	0.05064671443721609
halt	0.05011101038593154
sulk	0.05011101038593154
overrun	0.05011101038593154
supplement	0.05011101038593154
snow	0.05011101038593154
isolate	0.04953307836615892
fritter	0.04692472361549425
pad	0.04692472361549425
revise	0.04692472361549425
rig	0.04692472361549425
crumple	0.04662958485186403
stab	0.04662958485186403
limp	0.04662958485186403
obsess	0.04590809742816622
philosophize	0.04590809742816622
reassert	0.04590809742816622
raid	0.04590809742816622
possible	0.04590809742816622
design	0.045879670922130376
ignore	0.04500262621773884
freeze	0.04489203358457294
thicken	0.0441410422820644
discipline	0.04407449297492585
litter	0.04407449297492585
establishment	0.04407449297492585
gesticulate	0.04407449297492585
regard	0.04401715099408832
develop	0.04397144314667366
note	0.04354273873353356
ache	0.04325614102021393
reappear	0.043084986629490785
lecture	0.04252694689981066
readjust	0.04188375248749576
seethe	0.04188375248749576
subjugate	0.04188375248749576
weld	0.04188375248749576
thaw	0.04149614573411874
drum	0.04149614573411874
collar	0.04149614573411874
indicate	0.04083062577905411
baffle	0.04078232673247238
contrive	0.04040283022611565
train	0.040218607965717676
flicker	0.04000579562586746
grapple	0.04000579562586746
ascribe	0.039626462692927134
extort	0.03914229912255399
cripple	0.03914229912255399
evolve	0.03914229912255399
lip	0.03914229912255399
signal	0.03914229912255399
underline	0.038595623252581195
paddle	0.038595623252581195
swirl	0.038595623252581195
catalogue	0.038595623252581195
squat	0.038595623252581195
transition	0.038595623252581195
edit	0.038595623252581195
interweave	0.038595623252581195
wallow	0.038595623252581195
manipulate	0.038595623252581195
outcome	0.038595623252581195
pamper	0.038595623252581195
plight	0.038595623252581195
thatch	0.038595623252581195
conflict	0.03790834996300159
adapt	0.03790834996300159
stroll	0.037826216619887804
proposal	0.03768980841143456
development	0.037564783812235256
entangle	0.037564783812235256
dispute	0.03734329672910662
drift	0.03734329672910662
compete	0.03697697014195094
disentangle	0.03697697014195094
glorify	0.03697697014195094
clamour	0.03697697014195094
replenish	0.03697697014195094
cook	0.03645166877126628
recognize	0.03645166877126628
release	0.036285615611277966
lack	0.03591362686765836
splash	0.03590415552457566
approval	0.03590415552457566
embark	0.03590415552457566
illustrate	0.03590415552457566
harmonize	0.03581554959681055
discolour	0.03581554959681055
indispose	0.03581554959681055
draft	0.03581554959681055
concentrate	0.03563409853181731
wail	0.03561460288974234
apprehend	0.03561460288974234
loom	0.03561460288974234
-nothe	0.03545480588496165
-somethe	0.03545480588496165
-then	0.03545480588496165
anglicize	0.03545480588496165
aquiver	0.03545480588496165
banner	0.03545480588496165
beast	0.03545480588496165
burble	0.03545480588496165
chivalry	0.03545480588496165
churlish	0.03545480588496165
cinder	0.03545480588496165
cobble	0.03545480588496165
cohabit	0.03545480588496165
conspicuou	0.03545480588496165
egotism	0.03545480588496165
ev	0.03545480588496165
fairyland	0.03545480588496165
frantic	0.03545480588496165
gesture	0.03545480588496165
gluck	0.03545480588496165
golf	0.03545480588496165
harpoon	0.03545480588496165
holiday	0.03545480588496165
hydrate	0.03545480588496165
indian	0.03545480588496165
instant	0.03545480588496165
invader	0.03545480588496165
lance	0.03545480588496165
large	0.03545480588496165
liquefy	0.03545480588496165
muff	0.03545480588496165
orgy	0.03545480588496165
orient	0.03545480588496165
parrot	0.03545480588496165
ping	0.03545480588496165
polarize	0.03545480588496165
proliferate	0.03545480588496165
reclothe	0.03545480588496165
rediscover	0.03545480588496165
regularise	0.03545480588496165
reload	0.03545480588496165
ricochet	0.03545480588496165
shepherd	0.03545480588496165
shin	0.03545480588496165
skylark	0.03545480588496165
sledge	0.03545480588496165
slump	0.03545480588496165
spinach	0.03545480588496165
squawk	0.03545480588496165
strangulate	0.03545480588496165
team	0.03545480588496165
toughen	0.03545480588496165
trophy	0.03545480588496165
tush	0.03545480588496165
typewrite	0.03545480588496165
uninquir	0.03545480588496165
unreal	0.03545480588496165
ventriloquize	0.03545480588496165
ware	0.03545480588496165
wary	0.03545480588496165
boil	0.03532889614327019
dispose	0.035051847798881305
chuck	0.034972188638898026
flounder	0.034972188638898026
pet	0.034972188638898026
