ASPECTUAL	
Evento_lema	Frecuencia
begin	4309
keep	4252
enter	2296
continue	2143
stop	1841
open	1727
start	1395
remain	828
end	786
finish	687
resume	623
stand	573
choose	517
follow	394
abandon	271
step	266
complete	261
become	191
terminate	126
close	116
suspend	101
renew	74
effect	64
quit	46
restore	35
result	33
launch	28
completion	27
succeed	25
resolve	23
shift	21
unfold	19
commence	17
settle	11
expire	5
spill	3
originate	3
break	2
entered	1
eliminate	1
conclusion	1
spark	1
begine	1
