OCCURRENCE
Evento_lema	Frecuencia
appoint	179
surprise	179
reproach	179
forbid	178
crowd	177
proclaim	177
weigh	176
realise	175
respond	174
dart	174
charm	174
ascend	173
have	173
resolution	173
sail	172
repent	172
pack	172
emerge	171
preach	170
scream	169
warm	169
overhear	169
lit	169
subdue	168
rattle	167
borrow	167
muse	167
announcement	167
quiver	166
assemble	166
revive	165
praise	165
sang	165
leane	165
spring	164
retort	164
anticipate	163
restrain	163
decline	162
shiver	161
shed	161
perplex	161
aid	160
kick	159
undergo	159
rescue	159
resent	158
content	158
penetrate	158
consist	158
choke	157
exert	157
gasp	156
attain	156
fulfill	155
appeal	155
involve	155
provoke	153
cherish	153
head	153
insult	153
overtake	153
irritate	152
stamp	152
demand	150
interest	150
bed	150
stroll	150
educate	150
bade	149
commit	149
doubt	149
silence	148
labour	148
suffice	148
select	147
dry	147
meditate	147
profess	147
breed	146
tread	146
inflict	146
impart	146
wring	145
groan	144
mourn	144
partake	144
confine	144
master	144
taste	144
lodge	144
effect	144
banish	143
replace	143
divine	143
swell	143
unite	143
surround	143
prompt	142
brush	142
correct	141
scold	141
strengthen	141
assent	141
ensue	140
congratulate	140
invent	139
clean	139
fire	139
reside	139
melt	138
glide	138
avail	138
curse	137
envy	136
displease	136
dispute	135
oppress	135
overwhelm	134
wound	134
won’t	134
compare	133
arouse	133
twist	132
favour	132
execute	131
match	131
swing	130
didn’t	130
weary	129
relax	128
divert	128
ponder	128
seal	128
faint	127
shew	127
worship	127
bite	126
grumble	126
terrify	126
hunt	126
perish	125
will	125
reconcile	125
knaw	125
alight	125
occupation	124
adore	124
risk	124
vow	123
suppress	123
roar	123
peep	123
discharge	123
crisi	123
instruct	123
violence	123
glow	122
scorn	122
reassure	122
overlook	121
stream	121
pierce	121
trip	121
dictate	121
defy	120
witness	120
assert	120
amaze	120
confuse	120
signify	120
scatter	120
declare	120
disguise	119
resemble	118
darken	118
reward	118
toil	118
publish	118
heave	117
impose	117
plant	117
forsake	117
relate	117
rally	117
train	117
disperse	117
foresee	117
hover	116
heed	116
tumble	116
boast	115
discussion	115
suspect	114
pinch	114
smooth	114
associate	114
incur	114
copy	114
manifest	113
abuse	113
tap	113
vote	113
remonstrate	113
contradict	112
hear	112
bother	112
intimate	111
eye	111
flutter	111
conclude	111
inherit	111
condescend	111
deepen	111
blast	110
repay	110
torment	110
handle	110
regret	109
journey	109
discern	109
chance	109
shriek	109
enclose	108
measure	108
combine	108
upset	108
falter	108
esteem	107
curl	107
cultivate	107
point	107
despatch	107
comply	107
sprung	107
thrill	107
constitute	107
animate	106
stifle	106
cure	105
gleam	105
survive	105
founder	105
rain	104
administer	104
contribute	104
calm	104
derive	104
fed	104
triumph	104
hange	104
refresh	104
sway	103
pluck	103
torture	103
adorn	103
engross	103
mend	102
refrain	102
cheat	102
glitter	102
define	102
frame	101
chatter	101
pant	101
lounge	101
harm	101
invest	101
shrug	101
reign	101
renew	101
contrast	101
cost	101
embark	101
stride	100
except	100
brood	100
fret	100
convert	100
strain	100
free	100
swim	100
blaze	99
quicken	99
contract	99
re-serve	98
interpret	98
deposit	98
pain	98
reject	98
differ	98
whistle	98
somethe	98
subside	97
ache	97
recur	97
drift	97
beckon	97
beam	97
transfer	97
extinguish	96
frown	96
govern	96
denote	96
wink	95
vary	95
confound	95
stagger	95
hush	95
distress	95
crack	95
testify	95
precede	94
slide	94
clothe	94
assist	94
caress	93
moan	93
crouch	93
misunderstand	93
redeem	93
confer	93
evince	92
empty	92
befall	92
fulfil	92
clap	92
boil	91
beseech	91
tease	91
peer	91
blind	91
overpower	91
lurk	90
persevere	90
conjure	90
pat	90
wither	90
growl	89
grind	89
sparkle	89
grope	89
squeeze	89
doom	89
trample	89
stumble	89
adjust	89
exclude	88
wrong	88
stroke	88
clutch	88
omit	88
compel	88
traverse	88
shade	88
growth	88
entrust	88
rely	88
devise	88
acquiesce	87
result	87
concentrate	86
extract	86
benefit	86
disgrace	86
diminish	86
endow	86
renounce	86
meddle	85
picture	85
flit	85
incident	85
undo	85
recoil	85
trot	85
tragedy	85
dawn	85
frequent	85
usher	84
land	84
exaggerate	84
saunter	84
destine	84
consign	84
dig	83
amount	83
compromise	83
dispense	83
conjecture	82
carve	82
cough	82
imitate	82
bet	82
despair	82
clench	81
thunder	81
breakfast	81
droop	81
lunch	81
sale	81
temper	80
print	80
whirl	80
operation	80
forward	80
confront	80
adapt	80
baffle	80
crown	80
erect	79
chill	79
stammer	79
double	79
shape	79
defer	79
repress	79
stray	79
abide	79
unlock	79
influence	79
transaction	79
crawl	79
degrade	78
lack	78
lighten	78
freeze	78
intrude	78
court	78
lessen	78
escort	77
fashion	77
cool	77
announce	77
smell	77
figure	77
characterise	77
pile	76
hurl	76
load	76
exceed	76
concern	76
hire	76
rid	76
relinquish	76
identify	76
writhe	75
puff	75
impel	75
value	75
distract	75
elevate	75
name	75
expand	75
joke	75
knit	75
accost	75
none	75
profit	75
situate	75
lain	75
shelter	74
flourish	74
devour	74
scratch	74
feed	74
chafe	74
ease	74
vent	74
inhabit	74
envelop	74
consequence	73
yawn	73
humour	73
heap	73
yearn	73
depress	73
pitch	73
consume	73
assail	73
sting	73
snap	72
shift	72
mortify	72
revolt	72
shock	72
embarrass	72
fascinate	72
contend	72
wouldn’t	72
sketch	71
halter	71
chat	71
shun	71
fatigue	71
chuckle	71
“and	71
repose	70
harass	70
rear	70
bleed	70
rave	70
poison	70
disapprove	70
aspire	70
preside	70
grin	69
redden	69
race	69
avert	69
detest	69
capture	69
meeting	69
clad	69
illuminate	69
guard	68
sin	68
pine	68
stain	68
screen	68
stun	68
bathe	68
foot	68
inspect	67
peruse	67
correspond	67
stricken	67
achieve	67
summit	67
loiter	67
subject	67
forfeit	67
relapse	67
exalt	66
blot	66
attire	66
sneer	66
ignore	66
throb	66
veil	66
volunteer	65
appropriate	65
rock	65
lecture	65
disregard	65
reiterate	65
near	65
strip	65
enhance	65
pervade	65
weave	65
enquire	64
rule	64
wheel	64
reappear	64
coax	64
quote	64
gallop	64
chase	64
